,name,calories,carbs,fat,restaurant,category
0,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
1,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
2,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
3,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
4,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
5,A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
6,A&W® Root Beer,160,43.0,0,A&W Restaurants,Drinks
7,A&W® Root Beer,220,58.0,0,A&W Restaurants,Drinks
8,A&W® Root Beer,270,72.0,0,A&W Restaurants,Drinks
9,A&W® Root Beer,440,116.0,0,A&W Restaurants,Drinks
10,A&W® Root Beer,880,232.0,0,A&W Restaurants,Drinks
11,A&W® Root Beer,1760,464.0,0,A&W Restaurants,Drinks
12,Blue Raspberry Slushee,270,67.0,0,A&W Restaurants,Drinks
13,Blue Raspberry Slushee,370,91.0,0,A&W Restaurants,Drinks
14,Blue Raspberry Slushee,570,142.0,0,A&W Restaurants,Drinks
15,Blue Raspberry Slushee,740,182.0,0,A&W Restaurants,Drinks
16,Cherry Limeade,190,51.0,0,A&W Restaurants,Drinks
17,Cherry Limeade,300,79.0,0,A&W Restaurants,Drinks
18,Cherry Limeade,340,90.0,0,A&W Restaurants,Drinks
19,Cherry Limeade,530,138.0,0,A&W Restaurants,Drinks
20,Cherry Slushee,330,83.0,0,A&W Restaurants,Drinks
21,Cherry Slushee,450,112.0,0,A&W Restaurants,Drinks
22,Cherry Slushee,570,141.0,0,A&W Restaurants,Drinks
23,Cherry Slushee,900,224.0,0,A&W Restaurants,Drinks
24,Lemon Slushee,330,82.0,0,A&W Restaurants,Drinks
25,Lemon Slushee,440,110.0,0,A&W Restaurants,Drinks
26,Lemon Slushee,560,139.0,0,A&W Restaurants,Drinks
27,Lemon Slushee,890,221.0,0,A&W Restaurants,Drinks
28,Lime Slushee,280,69.0,0,A&W Restaurants,Drinks
29,Lime Slushee,380,94.0,0,A&W Restaurants,Drinks
30,Lime Slushee,480,119.0,0,A&W Restaurants,Drinks
31,Lime Slushee,770,188.0,0,A&W Restaurants,Drinks
32,Limeade,140,38.0,0,A&W Restaurants,Drinks
33,Limeade,210,55.0,0,A&W Restaurants,Drinks
34,Limeade,250,66.0,0,A&W Restaurants,Drinks
35,Limeade,390,103.0,0,A&W Restaurants,Drinks
36,Strawberry Limeade,230,58.0,0,A&W Restaurants,Drinks
37,Strawberry Limeade,290,75.0,0,A&W Restaurants,Drinks
38,Strawberry Limeade,420,105.0,0,A&W Restaurants,Drinks
39,Strawberry Limeade,560,143.0,0,A&W Restaurants,Drinks
40,Watermelon Slushee,270,73.0,0,A&W Restaurants,Drinks
41,Watermelon Slushee,360,99.0,0,A&W Restaurants,Drinks
42,Watermelon Slushee,460,124.0,0,A&W Restaurants,Drinks
43,Watermelon Slushee,720,197.0,0,A&W Restaurants,Drinks
44,Applebee’s Limeades,130,59.0,0,Applebee's,Drinks
45,Frozen Lemonades,255,64.0,0,Applebee's,Drinks
46,Coffee (16oz),0,0.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
47,Coffee (22oz),0,0.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
48,"Sweet Iced Tea (16oz, with ice)",70,18.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
49,"Sweet Iced Tea (22oz, with ice)",100,25.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
50,"Sweet Iced Tea (32oz, with ice)",150,37.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
51,"Unsweetened Iced Tea (16oz, with ice)",0,0.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
52,"Unsweetened Iced Tea (22oz, with ice)",0,0.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
53,"Unsweetened Iced Tea (32oz, with ice)",0,0.0,0,Bojangle's Famous Chicken 'n Biscuits,Drinks
54,Fanta Cherry frozen concentrated beverage,110,31.0,0,Burger King,Drinks
55,Fanta Cherry frozen concentrated beverage,140,40.0,0,Burger King,Drinks
56,Fresh Brewed Iced Tea,5,,0,Carl's Jr.,Drinks
57,Fresh Brewed Iced Tea,5,,0,Carl's Jr.,Drinks
58,Fresh Brewed Iced Tea,10,,0,Carl's Jr.,Drinks
59,Fresh Brewed Iced Tea,10,,0,Carl's Jr.,Drinks
60,Chick-fil-A® Diet Lemonade,20,6.0,0,Chick-fil-A,Drinks
61,Chick-fil-A® Lemonade,230,61.0,0,Chick-fil-A,Drinks
62,Iced Tea – Sweetened,130,32.0,0,Chick-fil-A,Drinks
63,Iced Tea – Unsweetened,0,0.0,0,Chick-fil-A,Drinks
64,Sweet Tea – Large,360,90.0,0,Church's,Drinks
65,Sweet Tea – Medium,270,68.0,0,Church's,Drinks
66,Sweet Tea – Small,190,48.0,0,Church's,Drinks
67,Unsweet Tea – Large,0,0.0,0,Church's,Drinks
68,Unsweet Tea – Medium,0,0.0,0,Church's,Drinks
69,Unsweet Tea – Small,0,0.0,0,Church's,Drinks
70,Frozen Mango Lemonade – VG,350,91.0,0,Corner Bakery Cafe,Drinks
71,Frozen Mango Lemonade – VG,700,182.0,0,Corner Bakery Cafe,Drinks
72,Frozen Mango Pomegranate Swirl – VG,320,83.0,0,Corner Bakery Cafe,Drinks
73,Frozen Mango Pomegranate Swirl – VG,640,166.0,0,Corner Bakery Cafe,Drinks
74,Frozen Pomegranate Lemonade – VG,290,75.0,0,Corner Bakery Cafe,Drinks
75,Frozen Pomegranate Lemonade – VG,580,150.0,0,Corner Bakery Cafe,Drinks
76,"Arctic Rush Float, All Flavors – Large",550,108.0,9,Dairy Queen,Drinks
77,"Arctic Rush Float, All Flavors – Medium",420,82.0,7,Dairy Queen,Drinks
78,"Arctic Rush Float, All Flavors – Small",330,65.0,6,Dairy Queen,Drinks
79,"Arctic Rush Freeze, All Flavors – Large",610,107.0,15,Dairy Queen,Drinks
80,"Arctic Rush Freeze, All Flavors – Medium",470,80.0,12,Dairy Queen,Drinks
81,"Arctic Rush Freeze, All Flavors – Small",380,65.0,10,Dairy Queen,Drinks
82,"Arctic Rush, All Flavors – Large",350,70.0,0,Dairy Queen,Drinks
83,"Arctic Rush, All Flavors – Medium",260,53.0,0,Dairy Queen,Drinks
84,"Arctic Rush, All Flavors – Small",210,41.0,0,Dairy Queen,Drinks
85,"Lemonade Chiller, Classic, Large",600,143.0,0,Dairy Queen,Drinks
86,"Lemonade Chiller, Classic, Medium",380,87.0,0,Dairy Queen,Drinks
87,"Lemonade Chiller, Classic, Small",250,55.0,0,Dairy Queen,Drinks
88,"Lemonade Chiller, Strawberry, Large",680,161.0,0,Dairy Queen,Drinks
89,"Lemonade Chiller, Strawberry, Medium",420,96.0,0,Dairy Queen,Drinks
90,"Lemonade Chiller, Strawberry, Small",280,64.0,0,Dairy Queen,Drinks
91,OJ Strawberry Mango,250,62.0,0,Denny's,Drinks
92,Pacific Chiller,210,54.0,0,Denny's,Drinks
93,Pineapple Dream™,180,47.0,0,Denny's,Drinks
94,Strawberry Lemonade,200,50.0,0,Denny's,Drinks
95,Strawberry Mango Pucker™,220,56.0,0,Denny's,Drinks
96,Italian Lemon Ice – Medium,250,65.0,0,Fazoli's,Drinks
97,Italian Lemon Ice – Small,170,46.0,0,Fazoli's,Drinks
98,Italian Lemon Ice with Peach,370,97.0,0,Fazoli's,Drinks
99,Italian Lemon Ice with Strawberry,270,70.0,0,Fazoli's,Drinks
100,Italian Lemon Ice with Wildberry,340,90.0,0,Fazoli's,Drinks
101,Fresh Brewed Iced Tea Sweetened,96,24.0,0,Golden Chick,Drinks
102,Fresh Brewed Iced Tea Unsweetened,2,0.0,0,Golden Chick,Drinks
103,Minute Maid Raspberry Lemonade,101,27.0,0,Golden Chick,Drinks
104,"Apple Juice, 10 fl oz",120,29.0,0,IHOP,Drinks
105,"Apple Juice, 12 fl oz (Kid’s Cup)",150,36.0,0,IHOP,Drinks
106,"Apple Juice, 16 fl oz",210,51.0,0,IHOP,Drinks
107,"Apple Juice, Carafe",480,116.0,0,IHOP,Drinks
108,"Cranberry Juice, 10 fl oz",130,33.0,0,IHOP,Drinks
109,"Cranberry Juice, 12 fl oz (Kid’s Cup)",160,41.0,0,IHOP,Drinks
110,"Cranberry Juice, 16 fl oz",230,58.0,0,IHOP,Drinks
111,"Cranberry Juice, Carafe",520,132.0,0,IHOP,Drinks
112,"Grapefruit Juice, 10 fl oz",120,30.0,0,IHOP,Drinks
113,"Grapefruit Juice, 12 fl oz (Kid’s Cup)",150,38.0,0,IHOP,Drinks
114,"Grapefruit Juice, 16 fl oz",210,53.0,0,IHOP,Drinks
115,"Grapefruit Juice, Carafe",480,120.0,0,IHOP,Drinks
116,Herbal Tea,0,2.0,0,IHOP,Drinks
117,Hot Chocolate,290,35.0,13,IHOP,Drinks
118,Hot Tea,5,0.0,0,IHOP,Drinks
119,"Iced Tea, 10 fl oz",5,2.0,0,IHOP,Drinks
120,"Iced Tea, 12 fl oz (Kid’s Cup)",5,2.0,0,IHOP,Drinks
121,"Iced Tea, 16 fl oz",10,2.0,0,IHOP,Drinks
122,Chocolate Lowfat Milk Chug 1%,180,30.0,2,Jack in the Box,Drinks
123,"Flavored Iced Tea, Mango 24 fl oz.",80,21.0,0,Jack in the Box,Drinks
124,"Flavored Iced Tea, Peach 24 fl oz.",80,20.0,0,Jack in the Box,Drinks
125,"Flavored Iced Tea, Raspberry 24 fl oz.",80,21.0,0,Jack in the Box,Drinks
126,Reduced Fat Milk Chug 2%*,120,12.0,4,Jack in the Box,Drinks
127,Iced Tea,2,0.0,0,Jimmy Johns,Drinks
128,Iced Tea,4,0.0,0,Jimmy Johns,Drinks
129,Lemonade,242,65.0,0,Jimmy Johns,Drinks
130,Lemonade,388,104.0,0,Jimmy Johns,Drinks
131,Light Lemonade,12,2.0,0,Jimmy Johns,Drinks
132,Light Lemonade,20,4.0,0,Jimmy Johns,Drinks
133,Raspberry Iced Tea,195,52.0,0,Jimmy Johns,Drinks
134,Raspberry Iced Tea,312,84.0,0,Jimmy Johns,Drinks
135,Hot Chocolate,300,41.0,12,McDonald's,Drinks
136,Hot Chocolate,380,53.0,15,McDonald's,Drinks
137,Hot Chocolate,460,63.0,18,McDonald's,Drinks
138,Hot Chocolate with Nonfat Milk,250,43.0,5,McDonald's,Drinks
139,Hot Chocolate with Nonfat Milk,310,55.0,6,McDonald's,Drinks
140,Hot Chocolate with Nonfat Milk,390,68.0,6,McDonald's,Drinks
141,Brewed Tea – Acai,0,0.0,0,Panera Bread,Drinks
142,Brewed Tea – Black,0,0.0,0,Panera Bread,Drinks
143,Brewed Tea- Acai,0,0.0,0,Panera Bread,Drinks
144,Brewed Tea- Black,0,0.0,0,Panera Bread,Drinks
145,Caramel,600,97.0,22,Panera Bread,Drinks
146,Hot Chocolate,380,50.0,16,Panera Bread,Drinks
147,Iced Chai Tea Latte,160,26.0,3,Panera Bread,Drinks
148,Iced Infused Green Tea (with passionfruit & papaya),130,33.0,0,Panera Bread,Drinks
149,Lemonade,160,41.0,0,Panera Bread,Drinks
150,Low Fat Cranberry Orange Smoothie,300,65.0,1,Panera Bread,Drinks
151,Low Fat Mango Smoothie,230,51.0,1,Panera Bread,Drinks
152,Low Fat Strawberry Smoothie with Ginseng,260,59.0,1,Panera Bread,Drinks
153,Low Fat Wild Berry Smoothie,290,67.0,1,Panera Bread,Drinks
154,Mango,330,61.0,10,Panera Bread,Drinks
155,Mocha,570,94.0,20,Panera Bread,Drinks
156,Orange Juice – Large,200,46.0,0,Panera Bread,Drinks
157,Orange Juice – Small,110,26.0,0,Panera Bread,Drinks
158,Organic Apple Juice,120,29.0,0,Panera Bread,Drinks
159,Organic Chocolate Milk,170,25.0,5,Panera Bread,Drinks
160,Organic Milk,120,12.0,4,Panera Bread,Drinks
161,Absolut Lemonade,202,31.0,0,Red Robin Gourmet Burgers,Drinks
162,Absolutely Absolut Freckled Lemonade,350,39.0,0,Red Robin Gourmet Burgers,Drinks
163,Bailey’s Irish Cream Shake,381,40.0,17,Red Robin Gourmet Burgers,Drinks
164,Banana Daiquiri,353,66.0,0,Red Robin Gourmet Burgers,Drinks
165,Cherry Lime Flip,260,43.0,0,Red Robin Gourmet Burgers,Drinks
166,Classic Mojito,240,40.0,0,Red Robin Gourmet Burgers,Drinks
167,Electric Watermelon,360,47.0,0,Red Robin Gourmet Burgers,Drinks
168,Flat On Your Beak,280,31.0,0,Red Robin Gourmet Burgers,Drinks
169,Freckled Lemonade,126,32.0,0,Red Robin Gourmet Burgers,Drinks
170,Freckled Lemonade Light,68,17.0,0,Red Robin Gourmet Burgers,Drinks
171,Gold Margarita – Frozen,169,18.0,0,Red Robin Gourmet Burgers,Drinks
172,Gold Margarita – Mango,390,74.0,0,Red Robin Gourmet Burgers,Drinks
173,Gold Margarita – Peach,274,45.0,0,Red Robin Gourmet Burgers,Drinks
174,Gold Margarita – Raspberry,463,67.0,0,Red Robin Gourmet Burgers,Drinks
175,Gold Margarita – Rocks,174,20.0,0,Red Robin Gourmet Burgers,Drinks
