name,calories,carbs,fat,restaurant,category
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Diet Root Beer,0,0.0,0,A&W Restaurants,Drinks
A&W® Root Beer,160,43.0,0,A&W Restaurants,Drinks
A&W® Root Beer,220,58.0,0,A&W Restaurants,Drinks
A&W® Root Beer,270,72.0,0,A&W Restaurants,Drinks
A&W® Root Beer,440,116.0,0,A&W Restaurants,Drinks
A&W® Root Beer,880,232.0,0,A&W Restaurants,Drinks
A&W® Root Beer,1760,464.0,0,A&W Restaurants,Drinks
Blue Raspberry Slushee,270,67.0,0,A&W Restaurants,Drinks
Blue Raspberry Slushee,370,91.0,0,A&W Restaurants,Drinks
Blue Raspberry Slushee,570,142.0,0,A&W Restaurants,Drinks
Blue Raspberry Slushee,740,182.0,0,A&W Restaurants,Drinks
Cherry Limeade,190,51.0,0,A&W Restaurants,Drinks
Cherry Limeade,300,79.0,0,A&W Restaurants,Drinks
Cherry Limeade,340,90.0,0,A&W Restaurants,Drinks
Cherry Limeade,530,138.0,0,A&W Restaurants,Drinks
Cherry Slushee,330,83.0,0,A&W Restaurants,Drinks
Cherry Slushee,450,112.0,0,A&W Restaurants,Drinks
Cherry Slushee,570,141.0,0,A&W Restaurants,Drinks
Cherry Slushee,900,224.0,0,A&W Restaurants,Drinks
Lemon Slushee,330,82.0,0,A&W Restaurants,Drinks
Lemon Slushee,440,110.0,0,A&W Restaurants,Drinks
Lemon Slushee,560,139.0,0,A&W Restaurants,Drinks
Lemon Slushee,890,221.0,0,A&W Restaurants,Drinks
Lime Slushee,280,69.0,0,A&W Restaurants,Drinks
Lime Slushee,380,94.0,0,A&W Restaurants,Drinks
Lime Slushee,480,119.0,0,A&W Restaurants,Drinks
Lime Slushee,770,188.0,0,A&W Restaurants,Drinks
Limeade,140,38.0,0,A&W Restaurants,Drinks
Limeade,210,55.0,0,A&W Restaurants,Drinks
Limeade,250,66.0,0,A&W Restaurants,Drinks
Limeade,390,103.0,0,A&W Restaurants,Drinks
Strawberry Limeade,230,58.0,0,A&W Restaurants,Drinks
Strawberry Limeade,290,75.0,0,A&W Restaurants,Drinks
Strawberry Limeade,420,105.0,0,A&W Restaurants,Drinks
Strawberry Limeade,560,143.0,0,A&W Restaurants,Drinks
Watermelon Slushee,270,73.0,0,A&W Restaurants,Drinks
Watermelon Slushee,360,99.0,0,A&W Restaurants,Drinks
Watermelon Slushee,460,124.0,0,A&W Restaurants,Drinks
Watermelon Slushee,720,197.0,0,A&W Restaurants,Drinks
